system;class;Bridge;Composite;ChainOfResponsibility;TemplateMethod;FactoryMethod;Prototype;cbo;wmc;dit;rfc;nom;loc;GC;RPB;FE;LM
jasperreports;net.sf.jasperreports.charts.base.JRBaseGanttDataset;0;0;1;1;1;0;7;9;3;4;6;45;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseGanttSeries;0;0;1;0;1;0;8;20;1;13;11;112;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseHighLowDataset;0;0;1;1;1;0;11;22;3;14;14;118;0;1;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseHighLowPlot;0;0;1;0;1;0;15;50;2;39;39;267;1;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseItemLabel;0;0;1;0;0;0;9;10;1;9;8;73;0;0;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseLinePlot;0;0;1;0;1;0;15;52;2;41;41;269;1;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseMeterPlot;0;0;1;0;1;0;16;34;2;33;20;182;0;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBasePie3DPlot;0;0;1;0;1;0;9;22;2;13;18;118;0;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBasePiePlot;0;0;1;0;1;0;10;19;2;15;15;114;0;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBasePieSeries;0;0;1;0;1;0;8;12;1;9;7;72;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseScatterPlot;0;0;1;0;1;0;15;50;2;40;39;258;1;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseThermometerPlot;0;0;1;0;1;0;13;29;2;16;15;144;0;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseTimePeriodDataset;0;0;1;1;1;0;8;12;3;6;7;53;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseTimePeriodSeries;0;0;1;0;1;0;8;16;1;11;9;83;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseTimeSeries;0;0;1;0;1;0;8;14;1;10;8;82;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseTimeSeriesDataset;0;0;1;1;1;0;10;16;3;9;10;78;0;1;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseTimeSeriesPlot;0;0;1;0;1;0;15;50;2;39;39;259;1;1;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseValueDataset;0;0;1;1;1;0;10;8;3;6;7;47;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseValueDisplay;0;0;1;0;0;0;8;10;1;7;8;71;0;0;1;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseXyDataset;0;0;1;1;1;0;9;12;3;6;7;59;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseXySeries;0;0;1;0;1;0;8;14;1;10;8;82;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseXyzDataset;0;0;1;1;1;0;9;12;3;6;7;53;0;0;0;0
jasperreports;net.sf.jasperreports.charts.base.JRBaseXyzSeries;0;0;1;0;1;0;8;14;1;10;8;75;0;0;0;0
jasperreports;net.sf.jasperreports.charts.design.JRDesignAreaPlot;0;0;1;0;0;0;9;23;3;24;23;178;0;1;0;0
jasperreports;net.sf.jasperreports.charts.design.JRDesignBar3DPlot;0;0;1;0;0;0;10;24;3;24;24;184;0;1;0;0
jasperreports;net.sf.jasperreports.charts.design.JRDesignBarPlot;0;0;1;0;0;0;10;24;3;24;24;186;0;1;0;0
jasperreports;net.sf.jasperreports.charts.design.JRDesignBubblePlot;0;0;1;0;0;0;9;23;3;24;23;175;0;1;0;0
jasperreports;net.sf.jasperreports.charts.design.JRDesignCandlestickPlot;0;0;1;0;0;0;9;23;3;24;23;177;0;1;0;0
jasperreports;net.sf.jasperreports.charts.design.JRDesignCategoryDataset;0;0;1;1;0;0;10;13;4;13;9;74;0;0;0;0
jasperreports;net.sf.jasperreports.charts.design.JRDesignCategorySeries;0;0;1;0;1;0;6;7;2;2;6;58;0;0;0;0
jasperreports;net.sf.jasperreports.charts.design.JRDesignChartAxis;0;0;1;0;0;0;8;8;2;36;7;71;0;1;1;1
